message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:47:52.360495943Z
fail: Microsoft.EntityFrameworkCore.Database.Connection[20004],info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050421467Z
      An error occurred using the connection to database 'postgres' on server 'tcp://aws-1-ap-northeast-1.pooler.supabase.com:5432'.,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050431530Z
fail: Microsoft.EntityFrameworkCore.Query[10100],info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050437250Z
      An exception occurred while iterating over the results of a query for context type 'TechSpecs.Data.AppDbContext'.,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050443893Z
      System.InvalidOperationException: An exception has been raised that is likely due to a transient failure.,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050449900Z
       ---> Npgsql.NpgsqlException (0x80004005): Failed to connect to 57.182.231.186:5432,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050456113Z
       ---> Npgsql.NpgsqlException (0x80004005): The operation has timed out,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050462404Z
       ---> System.TimeoutException: The operation has timed out.,info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050470105Z
         at Npgsql.ThrowHelper.ThrowNpgsqlExceptionWithInnerTimeoutException(String message),info,"{""level"":""info""}","{""project"":""6ecaea0e-826f-4d51-8a30-b541b453eb8e"",""environment"":""aeccdd30-8a86-43c6-9036-881e9dc2a152"",""service"":""46a99788-77fd-453f-8163-d49d1621b45b"",""deployment"":""310aa52d-015e-4b8d-aaf8-5b370b2eaa71"",""replica"":""c3b841da-b680-47f5-a385-615a9f42f181""}",2026-06-08T15:48:01.050478069Z
